A1,A2,A3,A4,A5,A6,A7,A8,C
15,49,13.0666666666667,248.266666666667,C,98.0666666666667,B,146.066666666667,D
7,49,49,196,B,129,A,151,B
10,20,12,32,A,63,A,74,A
20,39,11.7,202.8,C,89.7,B,129.7,D
3,46,107.333333333333,306.666666666667,B,181.333333333333,A,203.333333333333,B
18,41,13.6666666666667,164,A,82.6666666666667,A,118.666666666667,C
5,33,39.6,290.4,C,109.6,B,161.6,D
15,42,22.4,193.2,A,100.4,A,136.4,C
9,29,16.1111111111111,135.333333333333,A,67.1111111111111,A,103.111111111111,C
13,39,18,114,B,79,A,103,B
18,24,9.33333333333333,100,A,55.3333333333333,A,85.3333333333333,C
18,41,18.2222222222222,59.2222222222222,A,84.2222222222222,A,95.2222222222222,A
20,37,11.1,48.1,A,74.1,A,85.1,A
2,29,87,464,C,137,B,177,D
16,49,24.5,294,C,106.5,B,146.5,D
2,50,125,350,B,212,A,232,B
18,49,16.3333333333333,261.333333333333,C,91.3333333333333,B,143.333333333333,D
11,21,15.2727272727273,108.818181818182,A,60.2727272727273,A,99.2727272727273,C
14,26,9.28571428571429,141.142857142857,C,59.2857142857143,B,107.285714285714,D
16,31,11.625,170.5,C,73.625,B,121.625,D
20,39,7.8,46.8,A,73.8,A,85.8,A
1,20,120,420,A,160,A,193,C
6,47,62.6666666666667,438.666666666667,C,146.666666666667,B,194.666666666667,D
2,44,132,704,C,199,B,251,D
5,48,38.4,172.8,B,112.4,A,136.4,B
3,50,133.333333333333,550,A,209.333333333333,A,248.333333333333,C
18,46,17.8888888888889,127.777777777778,B,85.8888888888889,A,107.888888888889,B
11,37,13.4545454545455,100.909090909091,B,83.4545454545455,A,107.454545454545,B
15,31,12.4,173.6,C,76.4,B,120.4,D
9,29,25.7777777777778,164.333333333333,A,89.7777777777778,A,128.777777777778,C
8,47,29.375,229.125,A,114.375,A,153.375,C
8,21,18.375,118.125,A,77.375,A,107.375,C
14,35,17.5,52.5,A,80.5,A,92.5,A
11,37,16.8181818181818,53.8181818181818,A,75.8181818181818,A,87.8181818181818,A
6,45,52.5,195,B,118.5,A,144.5,B
16,50,18.75,275,C,102.75,B,142.75,D
12,31,12.9166666666667,175.666666666667,C,68.9166666666667,B,108.916666666667,D
5,49,78.4,127.4,A,158.4,A,169.4,A
16,43,21.5,258,C,99.5,B,151.5,D
18,28,6.22222222222222,136.888888888889,C,68.2222222222222,B,108.222222222222,D
13,27,12.4615384615385,118.384615384615,A,70.4615384615385,A,100.461538461538,C
10,47,28.2,300.8,C,96.2,B,136.2,D
13,27,14.5384615384615,83.0769230769231,B,77.5384615384615,A,103.538461538462,B
18,33,14.6666666666667,95.3333333333333,B,85.6666666666667,A,109.666666666667,B
2,39,97.5,136.5,A,169.5,A,180.5,A
5,34,34,272,C,98,B,146,D
16,26,6.5,32.5,A,69.5,A,79.5,A
6,26,30.3333333333333,56.3333333333333,A,94.3333333333333,A,105.333333333333,A
4,45,78.75,123.75,A,151.75,A,162.75,A
19,40,10.5263157894737,50.5263157894737,A,73.5263157894737,A,85.5263157894737,A
6,26,34.6666666666667,60.6666666666667,A,97.6666666666667,A,107.666666666667,A
14,28,14,126,A,82,A,118,C
19,34,8.94736842105263,171.789473684211,C,80.9473684210526,B,128.947368421053,D
18,34,11.3333333333333,90.6666666666667,B,65.3333333333333,A,87.3333333333333,B
2,28,112,560,C,179,B,223,D
14,24,10.2857142857143,137.142857142857,C,70.2857142857143,B,110.285714285714,D
9,36,20,56,A,88,A,98,A
16,33,10.3125,43.3125,A,65.3125,A,76.3125,A
15,22,7.33333333333333,29.3333333333333,A,58.3333333333333,A,69.3333333333333,A
12,46,15.3333333333333,245.333333333333,C,97.3333333333333,B,145.333333333333,D
14,40,17.1428571428571,171.428571428571,A,87.1428571428571,A,126.142857142857,C
19,41,10.7894736842105,51.7894736842105,A,88.7894736842105,A,100.789473684211,A
6,23,15.3333333333333,153.333333333333,C,78.3333333333333,B,118.333333333333,D
10,20,16,36,A,58,A,70,A
13,29,13.3846153846154,42.3846153846154,A,74.3846153846154,A,87.3846153846154,A
14,21,12,132,C,63,B,111,D
13,23,12.3846153846154,70.7692307692308,B,68.3846153846154,A,94.3846153846154,B
14,38,19,228,C,95,B,135,D
11,25,15.9090909090909,122.727272727273,A,68.9090909090909,A,98.9090909090909,C
9,35,31.1111111111111,264.444444444444,C,99.1111111111111,B,151.111111111111,D
9,27,12,156,C,59,B,111,D
11,34,18.5454545454545,210.181818181818,C,85.5454545454545,B,125.545454545455,D
5,40,64,208,B,133,A,157,B
3,48,128,352,B,198,A,222,B
1,36,288,324,A,357,A,367,A
7,49,35,168,B,117,A,139,B
13,38,20.4615384615385,58.4615384615385,A,90.4615384615385,A,100.461538461538,A
1,29,232,522,B,298,A,318,B
4,50,87.5,412.5,A,159.5,A,189.5,C
10,38,22.8,243.2,C,91.8,B,139.8,D
8,37,27.75,129.5,B,98.75,A,124.75,B
12,20,13.3333333333333,133.333333333333,C,66.3333333333333,B,106.333333333333,D
12,50,25,150,B,98,A,122,B
10,35,24.5,238,C,85.5,B,125.5,D
19,38,16,162,A,85,A,118,C
3,36,60,384,C,121,B,161,D
20,33,6.6,39.6,A,64.6,A,77.6,A
2,30,90,120,A,144,A,155,A
8,33,24.75,231,C,95.75,B,139.75,D
19,27,5.68421052631579,130.736842105263,C,56.6842105263158,B,104.684210526316,D
6,46,46,184,B,126,A,150,B
20,25,5,60,B,51,A,73,B
4,31,54.25,85.25,A,113.25,A,123.25,A
3,30,80,330,A,137,A,176,C
18,29,12.8888888888889,125.666666666667,A,74.8888888888889,A,113.888888888889,C
10,44,35.2,316.8,C,107.2,B,151.2,D
5,24,38.4,62.4,A,99.4,A,109.4,A
4,29,36.25,261,C,105.25,B,153.25,D
15,44,14.6666666666667,234.666666666667,C,94.6666666666667,B,138.666666666667,D
12,45,30,75,A,108,A,118,A
10,20,16,72,B,60,A,84,B
15,50,16.6666666666667,66.6666666666667,A,99.6666666666667,A,111.666666666667,A
8,34,29.75,255,C,98.75,B,146.75,D
8,31,27.125,116.25,B,78.125,A,102.125,B
15,28,14.9333333333333,171.733333333333,C,78.9333333333333,B,126.933333333333,D
11,35,12.7272727272727,95.4545454545455,B,68.7272727272727,A,94.7272727272727,B
14,33,14.1428571428571,141.428571428571,A,85.1428571428571,A,124.142857142857,C
3,29,67.6666666666667,193.333333333333,B,125.666666666667,A,145.666666666667,B
3,42,56,196,B,137,A,159,B
18,49,21.7777777777778,141.555555555556,B,109.777777777778,A,135.777777777778,B
3,28,37.3333333333333,65.3333333333333,A,88.3333333333333,A,100.333333333333,A
19,50,13.1578947368421,189.473684210526,A,84.1578947368421,A,123.157894736842,C
19,30,6.31578947368421,72.6315789473684,B,62.3157894736842,A,84.3157894736842,B
4,44,66,110,A,130,A,141,A
19,38,10,144,A,72,A,102,C
9,22,14.6666666666667,110,A,72.6666666666667,A,111.666666666667,C
1,42,168,840,C,246,B,290,D
12,22,14.6666666666667,110,A,60.6666666666667,A,96.6666666666667,C
16,24,7.5,94.5,A,66.5,A,105.5,C
19,48,12.6315789473684,60.6315789473684,A,82.6315789473684,A,93.6315789473684,A
4,31,54.25,170.5,B,112.25,A,136.25,B
4,44,66,440,C,134,B,178,D
19,22,9.26315789473684,125.052631578947,C,70.2631578947368,B,118.263157894737,D
8,37,18.5,55.5,A,78.5,A,91.5,A
6,33,33,66,A,104,A,115,A
5,30,48,312,C,111,B,155,D
17,26,9.17647058823529,105.529411764706,A,61.1764705882353,A,91.1764705882353,C
14,48,24,288,C,92,B,140,D
6,20,13.3333333333333,66.6666666666667,B,73.3333333333333,A,97.3333333333333,B
11,38,27.6363636363636,262.545454545455,C,96.6363636363636,B,140.636363636364,D
19,26,10.9473684210526,73.8947368421053,B,57.9473684210526,A,79.9473684210526,B
3,33,44,308,C,110,B,158,D
2,33,99,264,B,167,A,193,B
19,29,6.10526315789474,35.1052631578947,A,67.1052631578947,A,79.1052631578947,A
12,38,12.6666666666667,152,A,82.6666666666667,A,112.666666666667,C
8,22,11,99,A,63,A,102,C
2,44,110,154,A,175,A,187,A
10,33,26.4,59.4,A,99.4,A,112.4,A
2,31,77.5,434,C,136.5,B,180.5,D
18,36,8,176,C,68,B,120,D
13,32,12.3076923076923,88.6153846153846,B,80.3076923076923,A,104.307692307692,B
5,44,52.8,387.2,C,125.8,B,165.8,D
18,25,11.1111111111111,36.1111111111111,A,58.1111111111111,A,71.1111111111111,A
14,29,10.3571428571429,157.428571428571,C,78.3571428571429,B,126.357142857143,D
8,34,25.5,238,C,82.5,B,130.5,D
12,47,27.4166666666667,297.666666666667,C,107.416666666667,B,159.416666666667,D
9,20,17.7777777777778,37.7777777777778,A,74.7777777777778,A,84.7777777777778,A
6,46,53.6666666666667,398.666666666667,C,139.666666666667,B,187.666666666667,D
14,40,11.4285714285714,154.285714285714,A,75.4285714285714,A,105.428571428571,C
13,41,18.9230769230769,179.769230769231,A,85.9230769230769,A,115.923076923077,C
15,41,13.6666666666667,109.333333333333,B,82.6666666666667,A,106.666666666667,B
3,39,52,273,A,126,A,162,C
9,46,30.6666666666667,230,A,103.666666666667,A,136.666666666667,C
7,28,24,208,C,86,B,126,D
14,31,17.7142857142857,146.142857142857,A,75.7142857142857,A,114.714285714286,C
3,50,100,600,C,180,B,220,D
3,35,81.6666666666667,116.666666666667,A,151.666666666667,A,161.666666666667,A
4,42,84,252,B,164,A,188,B
12,20,10,30,A,52,A,63,A
6,34,28.3333333333333,187,A,101.333333333333,A,137.333333333333,C
12,40,23.3333333333333,190,A,85.3333333333333,A,118.333333333333,C
9,23,15.3333333333333,153.333333333333,C,62.3333333333333,B,102.333333333333,D
9,26,20.2222222222222,184.888888888889,C,67.2222222222222,B,115.222222222222,D
7,33,23.5714285714286,169.714285714286,A,84.5714285714286,A,114.571428571429,C
6,46,38.3333333333333,337.333333333333,C,120.333333333333,B,164.333333333333,D
12,36,24,60,A,94,A,107,A
2,31,124,310,B,180,A,202,B
18,32,12.4444444444444,44.4444444444444,A,65.4444444444444,A,78.4444444444444,A
9,30,16.6666666666667,140,A,82.6666666666667,A,121.666666666667,C
15,25,13.3333333333333,38.3333333333333,A,76.3333333333333,A,87.3333333333333,A
1,27,216,972,C,274,B,326,D
16,28,10.5,38.5,A,75.5,A,87.5,A
3,25,66.6666666666667,91.6666666666667,A,125.666666666667,A,137.666666666667,A
19,32,8.42105263157895,121.263157894737,A,60.4210526315789,A,99.4210526315789,C
20,34,6.8,163.2,C,73.8,B,125.8,D
4,50,62.5,450,C,138.5,B,178.5,D
17,41,19.2941176470588,180.882352941176,A,93.2941176470588,A,126.294117647059,C
19,24,10.1052631578947,68.2105263157895,B,58.1052631578947,A,82.1052631578947,B
17,26,7.64705882352941,100.941176470588,A,56.6470588235294,A,95.6470588235294,C
19,26,9.57894736842105,71.1578947368421,B,63.5789473684211,A,85.5789473684211,B
7,41,23.4285714285714,64.4285714285714,A,100.428571428571,A,110.428571428571,A
3,30,40,70,A,90,A,100,A
10,49,24.5,147,B,113.5,A,133.5,B
4,39,78,234,B,141,A,167,B
3,45,90,540,C,162,B,206,D
12,29,16.9166666666667,137.75,A,67.9166666666667,A,100.916666666667,C
12,38,15.8333333333333,161.5,A,78.8333333333333,A,117.833333333333,C
2,33,115.5,148.5,A,170.5,A,183.5,A
5,21,33.6,163.8,A,88.6,A,127.6,C
14,21,12,99,A,58,A,91,C
15,34,11.3333333333333,90.6666666666667,B,67.3333333333333,A,87.3333333333333,B
10,32,16,48,A,74,A,84,A
7,32,22.8571428571429,109.714285714286,B,87.8571428571429,A,113.857142857143,B
7,47,40.2857142857143,261.857142857143,A,115.285714285714,A,145.285714285714,C
10,26,18.2,44.2,A,71.2,A,84.2,A
4,49,49,392,C,134,B,174,D
11,48,34.9090909090909,82.9090909090909,A,117.909090909091,A,130.909090909091,A
2,49,122.5,343,B,204.5,A,228.5,B
15,21,8.4,88.2,A,50.4,A,86.4,C
12,21,10.5,94.5,A,55.5,A,91.5,C
13,44,20.3076923076923,192.923076923077,A,87.3076923076923,A,117.307692307692,C
20,47,16.45,253.8,C,91.45,B,135.45,D
16,23,10.0625,66.125,B,64.0625,A,88.0625,B
10,26,15.6,41.6,A,62.6,A,73.6,A
18,38,16.8888888888889,164.666666666667,A,82.8888888888889,A,118.888888888889,C
12,31,15.5,46.5,A,83.5,A,94.5,A
16,39,12.1875,51.1875,A,90.1875,A,103.1875,A
20,39,7.8,140.4,A,79.8,A,118.8,C
11,45,32.7272727272727,233.181818181818,A,100.727272727273,A,139.727272727273,C
10,40,32,72,A,96,A,108,A
16,22,9.625,126.5,C,64.625,B,108.625,D
13,33,12.6923076923077,137.076923076923,A,75.6923076923077,A,108.692307692308,C
11,48,26.1818181818182,222.545454545455,A,95.1818181818182,A,131.181818181818,C
19,34,14.3157894736842,48.3157894736842,A,75.3157894736842,A,88.3157894736842,A
13,50,19.2307692307692,138.461538461538,B,94.2307692307692,A,118.230769230769,B
6,25,20.8333333333333,183.333333333333,C,76.8333333333333,B,120.833333333333,D
4,47,94,282,B,167,A,189,B
16,44,19.25,126.5,B,100.25,A,124.25,B
18,31,6.88888888888889,113.666666666667,A,67.8888888888889,A,100.888888888889,C
2,40,120,480,A,198,A,237,C
13,25,9.61538461538461,34.6153846153846,A,74.6153846153846,A,85.6153846153846,A
14,27,7.71428571428571,69.4285714285714,B,74.7142857142857,A,94.7142857142857,B
20,49,14.7,127.4,B,94.7,A,114.7,B
17,48,19.7647058823529,67.7647058823529,A,107.764705882353,A,117.764705882353,A
2,26,78,104,A,137,A,148,A
10,43,30.1,73.1,A,110.1,A,120.1,A
16,32,8,160,C,60,B,112,D
15,26,8.66666666666667,138.666666666667,C,69.6666666666667,B,117.666666666667,D
13,28,10.7692307692308,77.5384615384615,B,66.7692307692308,A,92.7692307692308,B
6,42,28,280,C,93,B,145,D
16,45,22.5,67.5,A,105.5,A,116.5,A
16,39,17.0625,224.25,C,95.0625,B,139.0625,D
9,27,18,45,A,69,A,81,A
18,27,9,108,A,62,A,101,C
13,30,16.1538461538462,46.1538461538462,A,66.1538461538462,A,79.1538461538462,A
1,28,224,1008,C,286,B,330,D
2,32,64,384,C,134,B,174,D
8,38,28.5,66.5,A,87.5,A,99.5,A
12,46,23,207,A,106,A,139,C
11,42,30.5454545454545,145.090909090909,B,103.545454545455,A,129.545454545455,B
17,28,11.5294117647059,118.588235294118,A,65.5294117647059,A,101.529411764706,C
6,28,23.3333333333333,51.3333333333333,A,79.3333333333333,A,89.3333333333333,A
2,36,126,486,A,201,A,234,C
13,20,6.15384615384615,52.3076923076923,B,56.1538461538462,A,78.1538461538462,B
18,34,7.55555555555556,41.5555555555556,A,78.5555555555556,A,90.5555555555556,A
13,37,22.7692307692308,179.307692307692,A,94.7692307692308,A,124.769230769231,C
10,25,10,105,A,59,A,98,C
10,34,13.6,190.4,C,73.6,B,117.6,D
11,23,14.6363636363636,112.909090909091,A,72.6363636363636,A,108.636363636364,C
1,26,104,520,C,166,B,210,D
16,39,14.625,214.5,C,92.625,B,132.625,D
18,28,7.77777777777778,107.333333333333,A,63.7777777777778,A,102.777777777778,C
3,49,98,147,A,171,A,182,A
20,50,12.5,187.5,A,87.5,A,120.5,C
7,30,25.7142857142857,55.7142857142857,A,93.7142857142857,A,104.714285714286,A
9,29,19.3333333333333,96.6666666666667,B,81.3333333333333,A,101.333333333333,B
13,49,15.0769230769231,192.230769230769,A,98.0769230769231,A,128.076923076923,C
15,34,11.3333333333333,45.3333333333333,A,83.3333333333333,A,93.3333333333333,A
7,33,18.8571428571429,207.428571428571,C,78.8571428571429,B,126.857142857143,D
20,46,16.1,186.3,A,99.1,A,129.1,C
